[Time: 0] Customer1 is coming to the system.
[Time: 77.74740729111221] Customer39 is served.
[Time: 79.42512400489419] Customer41 is coming to the system.
[Time: 79.83766674494525] Customer39 is leaving.
[Time: 79.83766674494525] Customer40 is served.
[Time: 80.45237317757915] Customer40 is leaving.
[Time: 80.45237317757915] Customer41 is served.
[Time: 80.48400961663658] Customer42 is coming to the system.
[Time: 84.03246900957383] Customer43 is coming to the system.
[Time: 84.94168810630582] Customer41 is leaving.
[Time: 84.94168810630582] Customer42 is served.
[Time: 85.9084813808614] Customer44 is coming to the system.
[Time: 86.41363636580279] Customer45 is coming to the system.
[Time: 86.42278768308627] Customer46 is coming to the system.
[Time: 87.719030314533] Customer42 is leaving.
[Time: 87.719030314533] Customer43 is served.
[Time: 89.90045090233036] Customer47 is coming to the system.
[Time: 90.26639469627943] Customer43 is leaving.
[Time: 90.26639469627943] Customer44 is served.
[Time: 90.67983005496512] Customer44 is leaving.
[Time: 90.67983005496512] Customer45 is served.
[Time: 91.1977967987216] Customer48 is coming to the system.
[Time: 91.53716468277229] Customer49 is coming to the system.
[Time: 92.84999851299479] Customer50 is coming to the system.
[Time: 93.8274515530168] Customer51 is coming to the system.
[Time: 94.15894906090755] Customer52 is coming to the system.
[Time: 94.6915996898462] Customer45 is leaving.
[Time: 94.6915996898462] Customer46 is served.
[Time: 98.27640803205945] Customer53 is coming to the system.
[Time: 98.66289517327522] Customer46 is leaving.
[Time: 98.66289517327522] Customer47 is served.
[Time: 99.48362753778085] Customer54 is coming to the system.
[Time: 100.74244482755972] Customer55 is coming to the system.
